Swing Trading - Fundamentally Strong Stocks,
Date: 08-May-2026,
Major Stocks,
Generated by and for: aminullah112@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Type,Close Within 52 Week High Zone,Improved Return on Equity,Improved Return on Capital Employed,Quarterly Net Profit Growth YoY,Quarterly EBITDA Growth YoY,High Increase in Quarterly Sales YoY (Results),Consistent Cash From Operations,Symbol with Comma for External Upload
Divi's Laboratories Ltd.,DIVISLAB,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,,Y,Y,Y,"DIVISLAB,"
Emcure Pharmaceuticals Ltd.,EMCURE,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,,Y,Y,Y,Y,Y,"EMCURE,"
Endurance Technologies Ltd.,ENDURANCE,NSE,Automobile & Ancillaries,Auto Ancillary,Almost There,,Y,Y,Y,Y,Y,Y,"ENDURANCE,"
Engineers India Ltd.,ENGINERSIN,NSE,Infrastructure,Engineering - Construction,Almost There,Y,Y,Y,Y,Y,Y,,"ENGINERSIN,"
Firstsource Solutions Ltd.,FSL,NSE,Information Technology,BPO/ITeS,Almost There,,Y,Y,Y,Y,Y,Y,"FSL,"
Fortis Healthcare Ltd.,FORTIS,NSE,Healthcare,Hospital & Healthcare Services,Almost There,Y,Y,Y,,Y,Y,Y,"FORTIS,"
FSN E-Commerce Ventures Ltd.,NYKAA,NSE,Information Technology,e-Commerce,Almost There,Y,Y,Y,Y,Y,Y,,"NYKAA,"
Garden Reach Shipbuilders & Engineers Ltd.,GRSE,NSE,Ship Building,Ship Building,Almost There,Y,Y,Y,Y,Y,Y,,"GRSE,"
GE Vernova T&D India Ltd.,GVT&D,NSE,Capital Goods,Electric Equipment,Almost There,Y,Y,Y,Y,Y,Y,,"GVT&D,"
Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,,Y,Y,Y,Y,Y,Y,"GLAXO,"
Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,NSE,Chemicals,Chemicals,Almost There,Y,Y,Y,,Y,Y,Y,"GNFC,"
Hero MotoCorp Ltd.,HEROMOTOCO,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,Almost There,,Y,Y,Y,Y,Y,Y,"HEROMOTOCO,"
Hindustan Copper Ltd.,HINDCOPPER,NSE,Non - Ferrous Metals,Metal - Non Ferrous,Almost There,,Y,Y,Y,Y,Y,Y,"HINDCOPPER,"
Hitachi Energy India Ltd.,POWERINDIA,NSE,Capital Goods,Electric Equipment,Almost There,Y,Y,Y,Y,Y,Y,,"POWERINDIA,"
Kalyan Jewellers India Ltd.,KALYANKJIL,NSE,Diamond & Jewellery,Diamond  &  Jewellery,Almost There,,Y,Y,Y,Y,Y,Y,"KALYANKJIL,"
Karur Vysya Bank Ltd.,KARURVYSYA,NSE,Banking,Bank - Private,Almost There,Y,Y,,Y,Y,Y,Y,"KARURVYSYA,"
Laurus Labs Ltd.,LAURUSLABS,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,,Y,Y,Y,"LAURUSLABS,"
Medplus Health Services Ltd.,MEDPLUS,NSE,Retailing,Retailing,Almost There,,Y,Y,Y,Y,Y,Y,"MEDPLUS,"
Multi Commodity Exchange Of India Ltd.,MCX,NSE,Finance,Finance - Stock Broking,Almost There,Y,Y,Y,Y,Y,Y,,"MCX,"
Natco Pharma Ltd.,NATCOPHARM,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,,Y,Y,Y,"NATCOPHARM,"
Persistent Systems Ltd.,PERSISTENT,NSE,Information Technology,IT - Software,Almost There,,Y,Y,Y,Y,Y,Y,"PERSISTENT,"
Railtel Corporation Of India Ltd.,RAILTEL,NSE,Telecom,Telecommunication - Service  Provider,Almost There,,Y,Y,Y,Y,Y,Y,"RAILTEL,"
Sai Life Sciences Ltd.,SAILIFE,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,Y,Y,Y,,"SAILIFE,"
SBI Life Insurance Company Ltd.,SBILIFE,NSE,Finance,Insurance,Almost There,Y,Y,Y,,Y,Y,Y,"SBILIFE,"
Schaeffler India Ltd.,SCHAEFFLER,NSE,Automobile & Ancillaries,Bearings,Almost There,Y,Y,Y,Y,Y,Y,,"SCHAEFFLER,"
Shriram Finance Ltd.,SHRIRAMFIN,NSE,Finance,Finance - NBFC,Almost There,Y,Y,Y,Y,Y,Y,,"SHRIRAMFIN,"
Siemens Energy India Ltd.,ENRIN,NSE,Capital Goods,Electric Equipment,Almost There,Y,Y,Y,Y,Y,Y,,"ENRIN,"
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,,Y,Y,Y,"SUNPHARMA,"
Syrma SGS Technology Ltd.,SYRMA,NSE,Electricals,Electronics - Components,Almost There,Y,Y,Y,Y,Y,Y,,"SYRMA,"
Tata Consumer Products Ltd.,TATACONSUM,NSE,Agriculture,Tea/Coffee,Almost There,Y,,Y,Y,Y,Y,Y,"TATACONSUM,"
Torrent Power Ltd.,TORNTPOWER,NSE,Power,Power Generation/Distribution,Almost There,Y,Y,Y,Y,Y,,Y,"TORNTPOWER,"
Triveni Turbine Ltd.,TRITURBINE,NSE,Capital Goods,Engineering - Industrial Equipments,Almost There,Y,Y,Y,,Y,Y,Y,"TRITURBINE,"
TVS Holdings Ltd.,TVSHLTD,NSE,Finance,Finance - Investment,Almost There,Y,Y,Y,Y,Y,Y,,"TVSHLTD,"
TVS Motor Company Ltd.,TVSMOTOR,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,Almost There,Y,Y,Y,Y,Y,Y,,"TVSMOTOR,"
Vedanta Ltd.,VEDL,NSE,Non - Ferrous Metals,Metal - Non Ferrous,Almost There,,Y,Y,Y,Y,Y,Y,"VEDL,"
Zydus Lifesciences Ltd.,ZYDUSLIFE,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,,Y,Y,Y,"ZYDUSLIFE,"
Zydus Wellness Ltd.,ZYDUSWELL,NSE,Fast Moving Consumer Goods,Consumer Food,Almost There,Y,Y,Y,,Y,Y,Y,"ZYDUSWELL,"
