Swing Trading - Fundamentally Strong Stocks,
Date: 20-May-2026,
Major Stocks,
Generated by and for: aminullah112@gmail.com,

Stock Name,Symbol,Exch,Sector Name,Industry Name,Type,Close Within 52 Week High Zone,Improved Return on Equity,Improved Return on Capital Employed,Quarterly Net Profit Growth YoY,Quarterly EBITDA Growth YoY,High Increase in Quarterly Sales YoY (Results),Consistent Cash From Operations,Symbol with Comma for External Upload
Solar Industries India Ltd.,SOLARINDS,NSE,Chemicals,Chemicals,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"SOLARINDS,"
Tata Steel Ltd.,TATASTEEL,NSE,Iron & Steel,Steel & Iron Products,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"TATASTEEL,"
Torrent Pharmaceuticals Ltd.,TORNTPHARM,NSE,Healthcare,Pharmaceuticals & Drugs,Perfect Match,Y,Y,Y,Y,Y,Y,Y,"TORNTPHARM,"
Acutaas Chemicals Ltd.,ACUTAAS,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,Y,Y,Y,,"ACUTAAS,"
Adani Green Energy Ltd.,ADANIGREEN,NSE,Power,Power Generation/Distribution,Almost There,Y,Y,,Y,Y,Y,Y,"ADANIGREEN,"
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,NSE,Logistics,Port,Almost There,Y,Y,Y,,Y,Y,Y,"ADANIPORTS,"
Anand Rathi Wealth Ltd.,ANANDRATHI,NSE,Finance,Finance - Others,Almost There,Y,Y,Y,Y,,Y,Y,"ANANDRATHI,"
AWL Agri Business Ltd.,AWL,NSE,Fast Moving Consumer Goods,Edible Oil,Almost There,,Y,Y,Y,Y,Y,Y,"AWL,"
Bharat Heavy Electricals Ltd.,BHEL,NSE,Capital Goods,Engineering - Industrial Equipments,Almost There,Y,Y,Y,Y,Y,Y,,"BHEL,"
Bharti Airtel Ltd.,BHARTIARTL,NSE,Telecom,Telecommunication - Service  Provider,Almost There,Y,Y,Y,,Y,Y,Y,"BHARTIARTL,"
BLS International Services Ltd.,BLS,NSE,Hospitality,Travel Services,Almost There,,Y,Y,Y,Y,Y,Y,"BLS,"
BSE Ltd.,BSE,NSE,Finance,Finance - Others,Almost There,Y,Y,Y,Y,Y,Y,,"BSE,"
Campus Activewear Ltd.,CAMPUS,NSE,Retailing,Footwear,Almost There,,Y,Y,Y,Y,Y,Y,"CAMPUS,"
Capri Global Capital Ltd.,CGCL,NSE,Finance,Finance - Investment,Almost There,Y,Y,Y,Y,Y,Y,,"CGCL,"
CarTrade Tech Ltd.,CARTRADE,NSE,Information Technology,e-Commerce,Almost There,,Y,Y,Y,Y,Y,Y,"CARTRADE,"
CCL Products (India) Ltd.,CCL,NSE,Agriculture,Tea/Coffee,Almost There,Y,Y,Y,,Y,Y,Y,"CCL,"
Divi's Laboratories Ltd.,DIVISLAB,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,,Y,Y,Y,"DIVISLAB,"
Emcure Pharmaceuticals Ltd.,EMCURE,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,,Y,Y,Y,Y,Y,"EMCURE,"
Engineers India Ltd.,ENGINERSIN,NSE,Infrastructure,Engineering - Construction,Almost There,Y,Y,Y,Y,Y,Y,,"ENGINERSIN,"
Firstsource Solutions Ltd.,FSL,NSE,Information Technology,BPO/ITeS,Almost There,,Y,Y,Y,Y,Y,Y,"FSL,"
Fortis Healthcare Ltd.,FORTIS,NSE,Healthcare,Hospital & Healthcare Services,Almost There,Y,Y,Y,,Y,Y,Y,"FORTIS,"
FSN E-Commerce Ventures Ltd.,NYKAA,NSE,Information Technology,e-Commerce,Almost There,Y,Y,Y,Y,Y,Y,,"NYKAA,"
GE Vernova T&D India Ltd.,GVT&D,NSE,Capital Goods,Electric Equipment,Almost There,Y,Y,Y,Y,Y,Y,,"GVT&D,"
Godfrey Phillips India Ltd.,GODFRYPHLP,NSE,Fast Moving Consumer Goods,Cigarettes/Tobacco,Almost There,,Y,Y,Y,Y,Y,Y,"GODFRYPHLP,"
Hero MotoCorp Ltd.,HEROMOTOCO,NSE,Automobile & Ancillaries,Automobile Two & Three Wheelers,Almost There,,Y,Y,Y,Y,Y,Y,"HEROMOTOCO,"
Himadri Speciality Chemical Ltd.,HSCL,NSE,Chemicals,Carbon Black,Almost There,Y,Y,Y,Y,,Y,Y,"HSCL,"
Hindustan Copper Ltd.,HINDCOPPER,NSE,Non - Ferrous Metals,Metal - Non Ferrous,Almost There,,Y,Y,Y,Y,Y,Y,"HINDCOPPER,"
Hitachi Energy India Ltd.,POWERINDIA,NSE,Capital Goods,Electric Equipment,Almost There,Y,Y,Y,Y,Y,Y,,"POWERINDIA,"
Kalpataru Projects International Ltd.,KPIL,NSE,Infrastructure,Engineering - Construction,Almost There,Y,,Y,Y,Y,Y,Y,"KPIL,"
Kalyan Jewellers India Ltd.,KALYANKJIL,NSE,Diamond & Jewellery,Diamond  &  Jewellery,Almost There,,Y,Y,Y,Y,Y,Y,"KALYANKJIL,"
Laurus Labs Ltd.,LAURUSLABS,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,,Y,Y,Y,"LAURUSLABS,"
Multi Commodity Exchange Of India Ltd.,MCX,NSE,Finance,Finance - Stock Broking,Almost There,Y,Y,Y,Y,Y,Y,,"MCX,"
Natco Pharma Ltd.,NATCOPHARM,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,,Y,Y,Y,"NATCOPHARM,"
PB Fintech Ltd.,POLICYBZR,NSE,Information Technology,Fintech,Almost There,Y,Y,Y,Y,Y,Y,,"POLICYBZR,"
Persistent Systems Ltd.,PERSISTENT,NSE,Information Technology,IT - Software,Almost There,,Y,Y,Y,Y,Y,Y,"PERSISTENT,"
Railtel Corporation Of India Ltd.,RAILTEL,NSE,Telecom,Telecommunication - Service  Provider,Almost There,,Y,Y,Y,Y,Y,Y,"RAILTEL,"
SBI Life Insurance Company Ltd.,SBILIFE,NSE,Finance,Insurance,Almost There,Y,Y,Y,,Y,Y,Y,"SBILIFE,"
Schaeffler India Ltd.,SCHAEFFLER,NSE,Automobile & Ancillaries,Bearings,Almost There,Y,Y,Y,Y,Y,Y,,"SCHAEFFLER,"
Shyam Metalics And Energy Ltd.,SHYAMMETL,NSE,Iron & Steel,Steel & Iron Products,Almost There,Y,,Y,Y,Y,Y,Y,"SHYAMMETL,"
Siemens Energy India Ltd.,ENRIN,NSE,Capital Goods,Electric Equipment,Almost There,Y,Y,Y,Y,Y,Y,,"ENRIN,"
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,NSE,Healthcare,Pharmaceuticals & Drugs,Almost There,Y,Y,Y,,Y,Y,Y,"SUNPHARMA,"
Tata Consumer Products Ltd.,TATACONSUM,NSE,Agriculture,Tea/Coffee,Almost There,Y,Y,,Y,Y,Y,Y,"TATACONSUM,"
Vedanta Ltd.,VEDL,NSE,Non - Ferrous Metals,Metal - Non Ferrous,Almost There,,Y,Y,Y,Y,Y,Y,"VEDL,"
Vishal Mega Mart Ltd.,VMM,NSE,Retailing,Retailing,Almost There,,Y,Y,Y,Y,Y,Y,"VMM,"
Zydus Wellness Ltd.,ZYDUSWELL,NSE,Fast Moving Consumer Goods,Consumer Food,Almost There,Y,Y,Y,,Y,Y,Y,"ZYDUSWELL,"
